,size,prob,trial,result
903,2000,0.1,3,10.0
904,2000,0.1,4,11.0
905,2000,0.1,5,10.0
906,2000,0.1,6,11.0
907,2000,0.1,7,12.0
908,2000,0.1,8,13.0
909,2000,0.1,9,12.0
910,2000,0.1,10,11.0
911,2000,0.1,11,10.0
912,2000,0.1,12,12.0
913,2000,0.1,13,10.0
914,2000,0.1,14,11.0
915,2000,0.1,15,13.0
916,2000,0.1,16,11.0
917,2000,0.1,17,14.0
918,2000,0.1,18,11.0
919,2000,0.1,19,13.0
920,2000,0.1,20,12.0
921,2000,0.1,21,14.0
922,2000,0.1,22,12.0
923,2000,0.1,23,12.0
924,2000,0.1,24,13.0
925,2000,0.1,25,11.0
926,2000,0.1,26,11.0
